"Action","Action"
"Add Installment","Add Installment"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find installment to delete.","Could not find installment to delete."
"Delete Installment","Delete Installment"
"Delete","Delete"
"Disabled","Disabled"
"Edit Installment '%s'","Edit Installment '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Installment was successfully deleted.","Installment was successfully deleted."
"Installment was successfully saved","Installment was successfully saved"
"Installment","Installment"
"Installments","Installments"
"No","No"
"None","None"
"Please select installments to delete.","Please select installments to delete."
"Please select installments.","Please select installments."
"Save And Continue Edit","Save And Continue Edit"
"Save Installment","Save Installment"
"Status","Status"
"Store views","Store views"
"There was a problem saving the installment.","There was a problem saving the installment."
"There was an error deleteing installment.","There was an error deleteing installment."
"There was an error deleteing installments.","There was an error deleteing installments."
"There was an error updating installments.","There was an error updating installments."
"This installment no longer exists.","This installment no longer exists."
"Total of %d installments were successfully deleted.","Total of %d installments were successfully deleted."
"Total of %d installments were successfully updated.","Total of %d installments were successfully updated."
"Unable to find installment to save.","Unable to find installment to save."
"XML","XML"
"Yes","Yes"
"cc_type","cc_type"
"qty","qty"
"rate","rate"